,open,high,low,close,volume,amount
2026-01-17 16:00:00,61.935772,65.62668,60.17964,65.62814,9702.369,702016.4
2026-01-17 17:00:00,65.224686,65.923035,64.171326,64.517624,5129.6855,378385.75
2026-01-17 18:00:00,64.75721,65.00015,63.873245,63.8507,8641.634,635499.4
2026-01-17 19:00:00,64.03356,64.15853,62.830708,63.386257,7538.923,552562.5
2026-01-17 20:00:00,61.94346,63.599236,61.183624,62.615276,7718.523,526693.44
2026-01-17 21:00:00,62.937653,64.60814,62.314125,64.310814,9658.357,673466.0
2026-01-17 22:00:00,64.321594,64.93042,62.908546,64.661385,7148.259,526988.94
2026-01-17 23:00:00,63.98444,64.514404,63.593697,63.878128,5320.3174,383508.47
2026-01-18 00:00:00,63.798775,64.03203,63.3005,63.38806,6570.4634,480509.06
2026-01-18 01:00:00,62.949474,63.64841,62.902565,63.421135,6246.6494,462328.22
2026-01-18 02:00:00,64.10987,64.39092,63.46972,63.21852,7328.6064,529584.9
2026-01-18 03:00:00,64.34406,64.68834,61.961803,62.624252,8206.919,601609.4
2026-01-18 04:00:00,62.62507,64.48233,60.569717,63.063717,10276.025,745100.7
2026-01-18 05:00:00,64.55893,64.12965,64.83617,63.962246,4658.3813,344052.12
2026-01-18 06:00:00,64.71959,65.03996,64.628784,64.87384,7267.317,540997.56
2026-01-18 07:00:00,64.93209,65.06846,64.91461,64.85499,6630.1606,488020.94
2026-01-18 08:00:00,65.63097,64.98061,65.998924,64.97218,6025.3105,446678.66
2026-01-18 09:00:00,63.832558,65.46907,62.100426,65.739235,7001.0034,508953.84
2026-01-18 10:00:00,65.29863,65.54339,65.021126,65.2503,7625.1816,564788.2
2026-01-18 11:00:00,64.60358,66.18825,63.794075,66.56251,5409.4243,399428.53
2026-01-18 12:00:00,66.80841,66.50549,65.87446,66.48212,4365.902,324380.28
2026-01-18 13:00:00,66.78713,67.33473,66.469,66.895744,7369.8325,533097.9
2026-01-18 14:00:00,66.72657,67.444405,66.29022,67.3685,5664.584,421724.97
2026-01-18 15:00:00,66.636536,68.20619,65.28055,68.12845,6384.6704,472154.44
